,R2,RMSE,MAE
Linear Regression,0.6318807729876701,0.6945406684565398,0.5027234050847645
Ridge Regression,0.6318680026241293,0.6945527154500918,0.5027234787515253
Lasso Regression,0.4907124841014129,0.8169301887796249,0.6151666178419769
Random Forest,0.8061458755072997,0.5040120883513248,0.32784785058139565
Gradient Boosting,0.799803609605203,0.5121905381640333,0.3476930668696772
